28.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEBW042;Bernhausen;11;K;01.01.2017;21.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
DEBW046;Biberach;7;K;01.01.2017;27.05.2017;7;0;0;0;0;0;0;0;0;0;0;0
DEBW052;Konstanz;2;K;01.01.2017;27.05.2017;2;0;0;0;0;0;0;0;0;0;0;0
DEBW056;Schwäbisch_Hall;10;K;01.01.2017;18.05.2017;7;3;0;0;0;0;0;0;0;0;0;0
DEBW059;Tauberbischofsheim;8;K;01.01.2017;27.05.2017;6;2;0;0;0;0;0;0;0;0;0;0
DEBW073;Neuenburg;10;K;01.01.2017;22.05.2017;8;2;0;0;0;0;0;0;0;0;0;0
DEBW076;Baden-Baden;7;K;01.01.2017;27.05.2017;7;0;0;0;0;0;0;0;0;0;0;0
DEBW080;Karlsruhe_Reinhold-Frank-Strasse;11;G;01.01.2017;03.05.2017;9;2;0;0;0;0;0;0;0;0;0;0
DEBW081;Karlsruhe-Nordwest;8;K;01.01.2017;27.05.2017;6;2;0;0;0;0;0;0;0;0;0;0
DEBW084;Freiburg;8;K;01.01.2017;27.05.2017;8;0;0;0;0;0;0;0;0;0;0;0
DEBW087;Schwäbische_Alb;1;K;01.01.2017;27.05.2017;1;0;0;0;0;0;0;0;0;0;0;0
DEBW098;Mannheim_Friedrichsring;12;G;01.01.2017;03.05.2017;8;3;1;0;0;0;0;0;0;0;0;0
DEBW099;Stuttgart_Arnulf-Klett-Platz;17;G;01.01.2017;09.05.2017;11;6;0;0;0;0;0;0;0;0;0;0
DEBW107;Tübingen;10;K;01.01.2017;27.05.2017;10;0;0;0;0;0;0;0;0;0;0;0
DEBW112;Gaertringen;6;K;01.01.2017;27.05.2017;6;0;0;0;0;0;0;0;0;0;0;0
DEBW116;"Stuttgart Hohenheimer Straße (S)";15;G;01.01.2017;09.05.2017;11;4;0;0;0;0;0;0;0;0;0;0
DEBW117;"Ludwigsburg Friedrichstraße (S)";22;G;01.01.2017;10.05.2017;12;10;0;0;0;0;0;0;0;0;0;0
DEBW118;"Stuttgart Am Neckartor (S)";37;G;01.01.2017;09.05.2017;17;14;4;1;1;0;0;0;0;0;0;0
